	KEY	QUEST_TYPE	SORT_INDEX	ICON	BUTTON_ACTION	REWARDS	PREVIOUS_QUEST	UNLOCK_REQUIREMENTS	COMPLETE_REQUIREMENTS	EXTRA	GOOGLE_ID	APPLE_ID
1783	CAMPAIGN_ELITE_41_10	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=41&level=10	25 DIAMONDS	1782	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=41, level=10		
1784	CAMPAIGN_ELITE_41_13	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=41&level=13	25 DIAMONDS	1783	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=41, level=13		
1785	CAMPAIGN_ELITE_41_16	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=41&level=16	25 DIAMONDS	1784	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=41, level=16		
1786	CAMPAIGN_ELITE_41_19	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=41&level=19	25 DIAMONDS	1785	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=41, level=19		
1787	CAMPAIGN_ELITE_42_1	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=42&level=1	25 DIAMONDS	1786	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=42, level=1		
1788	CAMPAIGN_ELITE_42_4	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=42&level=4	25 DIAMONDS	1787	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=42, level=4		
1789	CAMPAIGN_ELITE_42_7	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=42&level=7	25 DIAMONDS	1788	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=42, level=7		
1790	CAMPAIGN_ELITE_42_10	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=42&level=10	25 DIAMONDS	1789	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=42, level=10		
1791	CAMPAIGN_ELITE_42_13	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=42&level=13	25 DIAMONDS	1790	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=42, level=13		
1792	CAMPAIGN_ELITE_42_16	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=42&level=16	25 DIAMONDS	1791	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=42, level=16		
1793	CAMPAIGN_ELITE_42_19	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=42&level=19	25 DIAMONDS	1792	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=42, level=19		
1794	CAMPAIGN_ELITE_43_1	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=43&level=1	25 DIAMONDS	1793	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=43, level=1		
1795	CAMPAIGN_ELITE_43_4	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=43&level=4	25 DIAMONDS	1794	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=43, level=4		
1796	CAMPAIGN_ELITE_43_7	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=43&level=7	25 DIAMONDS	1795	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=43, level=7		
1797	CAMPAIGN_ELITE_43_10	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=43&level=10	25 DIAMONDS	1796	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=43, level=10		
1798	CAMPAIGN_ELITE_43_13	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=43&level=13	25 DIAMONDS	1797	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=43, level=13		
1799	CAMPAIGN_ELITE_43_16	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=43&level=16	25 DIAMONDS	1798	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=43, level=16		
1800	CAMPAIGN_ELITE_43_19	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=43&level=19	25 DIAMONDS	1799	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=43, level=19		
1801	CAMPAIGN_ELITE_44_1	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=44&level=1	25 DIAMONDS	1800	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=44, level=1		
1802	CAMPAIGN_ELITE_44_4	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=44&level=4	25 DIAMONDS	1801	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=44, level=4		
1803	CAMPAIGN_ELITE_44_7	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=44&level=7	25 DIAMONDS	1802	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=44, level=7		
1804	CAMPAIGN_ELITE_44_10	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=44&level=10	25 DIAMONDS	1803	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=44, level=10		
1805	CAMPAIGN_ELITE_44_13	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=44&level=13	25 DIAMONDS	1804	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=44, level=13		
1806	CAMPAIGN_ELITE_44_16	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=44&level=16	25 DIAMONDS	1805	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=44, level=16		
1807	CAMPAIGN_ELITE_44_19	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=44&level=19	25 DIAMONDS	1806	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=44, level=19		
1808	CAMPAIGN_ELITE_45_1	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=45&level=1	25 DIAMONDS	1807	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=45, level=1		
1809	CAMPAIGN_ELITE_45_4	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=45&level=4	25 DIAMONDS	1808	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=45, level=4		
1810	CAMPAIGN_ELITE_45_7	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=45&level=7	25 DIAMONDS	1809	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=45, level=7		
1811	CAMPAIGN_ELITE_45_10	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=45&level=10	25 DIAMONDS	1810	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=45, level=10		
1812	CAMPAIGN_ELITE_45_13	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=45&level=13	25 DIAMONDS	1811	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=45, level=13		
1813	CAMPAIGN_ELITE_45_16	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=45&level=16	25 DIAMONDS	1812	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=45, level=16		
1814	CAMPAIGN_ELITE_45_19	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=45&level=19	25 DIAMONDS	1813	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=45, level=19		
1815	CAMPAIGN_ELITE_46_1	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=46&level=1	25 DIAMONDS	1814	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=46, level=1		
1816	CAMPAIGN_ELITE_46_4	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=46&level=4	25 DIAMONDS	1815	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=46, level=4		
1817	CAMPAIGN_ELITE_46_7	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=46&level=7	25 DIAMONDS	1816	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=46, level=7		
1818	CAMPAIGN_ELITE_46_10	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=46&level=10	25 DIAMONDS	1817	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=46, level=10		
1819	CAMPAIGN_ELITE_46_13	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=46&level=13	25 DIAMONDS	1818	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=46, level=13		
1820	CAMPAIGN_ELITE_46_16	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=46&level=16	25 DIAMONDS	1819	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=46, level=16		
1821	CAMPAIGN_ELITE_46_19	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=46&level=19	25 DIAMONDS	1820	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=46, level=19		
1822	CAMPAIGN_ELITE_47_1	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=47&level=1	25 DIAMONDS	1821	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=47, level=1		
1823	CAMPAIGN_ELITE_47_4	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=47&level=4	25 DIAMONDS	1822	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=47, level=4		
1824	CAMPAIGN_ELITE_47_7	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=47&level=7	25 DIAMONDS	1823	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=47, level=7		
1825	CAMPAIGN_ELITE_47_10	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=47&level=10	25 DIAMONDS	1824	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=47, level=10		
1826	CAMPAIGN_ELITE_47_13	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=47&level=13	25 DIAMONDS	1825	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=47, level=13		
1827	CAMPAIGN_ELITE_47_16	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=47&level=16	25 DIAMONDS	1826	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=47, level=16		
1828	CAMPAIGN_ELITE_47_19	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=47&level=19	25 DIAMONDS	1827	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=47, level=19		
1829	CAMPAIGN_ELITE_48_1	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=48&level=1	25 DIAMONDS	1828	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=48, level=1		
1830	CAMPAIGN_ELITE_48_4	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=48&level=4	25 DIAMONDS	1829	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=48, level=4		
1831	CAMPAIGN_ELITE_48_7	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=48&level=7	25 DIAMONDS	1830	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=48, level=7		
1832	CAMPAIGN_ELITE_48_10	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=48&level=10	25 DIAMONDS	1831	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=48, level=10		
1833	CAMPAIGN_ELITE_48_13	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=48&level=13	25 DIAMONDS	1832	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=48, level=13		
1834	CAMPAIGN_ELITE_48_16	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=48&level=16	25 DIAMONDS	1833	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=48, level=16		
1835	CAMPAIGN_ELITE_48_19	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=48&level=19	25 DIAMONDS	1834	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=48, level=19		
1836	CAMPAIGN_ELITE_49_1	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=49&level=1	25 DIAMONDS	1835	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=49, level=1		
1837	CAMPAIGN_ELITE_49_4	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=49&level=4	25 DIAMONDS	1836	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=49, level=4		
1838	CAMPAIGN_ELITE_49_7	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=49&level=7	25 DIAMONDS	1837	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=49, level=7		
1839	CAMPAIGN_ELITE_49_10	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=49&level=10	25 DIAMONDS	1838	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=49, level=10		
1840	CAMPAIGN_ELITE_49_13	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=49&level=13	25 DIAMONDS	1839	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=49, level=13		
1841	CAMPAIGN_ELITE_49_16	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=49&level=16	25 DIAMONDS	1840	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=49, level=16		
1842	CAMPAIGN_ELITE_49_19	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=49&level=19	25 DIAMONDS	1841	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=49, level=19		
1843	CAMPAIGN_ELITE_50_1	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=50&level=1	25 DIAMONDS	1842	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=50, level=1		
1844	CAMPAIGN_ELITE_50_4	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=50&level=4	25 DIAMONDS	1843	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=50, level=4		
1845	CAMPAIGN_ELITE_50_7	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=50&level=7	25 DIAMONDS	1844	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=50, level=7		
1846	CAMPAIGN_ELITE_50_10	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=50&level=10	25 DIAMONDS	1845	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=50, level=10		
1847	CAMPAIGN_ELITE_50_13	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=50&level=13	25 DIAMONDS	1846	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=50, level=13		
1848	CAMPAIGN_ELITE_50_16	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=50&level=16	25 DIAMONDS	1847	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=50, level=16		
1849	CAMPAIGN_ELITE_50_19	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=50&level=19	25 DIAMONDS	1848	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=50, level=19		
1850	CAMPAIGN_ELITE_51_1	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=51&level=1	25 DIAMONDS	1849	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=51, level=1		
1851	CAMPAIGN_ELITE_51_4	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=51&level=4	25 DIAMONDS	1850	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=51, level=4		
1852	CAMPAIGN_ELITE_51_7	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=51&level=7	25 DIAMONDS	1851	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=51, level=7		
1853	CAMPAIGN_ELITE_51_10	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=51&level=10	25 DIAMONDS	1852	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=51, level=10		
1854	CAMPAIGN_ELITE_51_13	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=51&level=13	25 DIAMONDS	1853	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=51, level=13		
1855	CAMPAIGN_ELITE_51_16	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=51&level=16	25 DIAMONDS	1854	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=51, level=16		
1856	CAMPAIGN_ELITE_51_19	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=51&level=19	25 DIAMONDS	1855	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=51, level=19		
1857	CAMPAIGN_ELITE_52_1	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=52&level=1	25 DIAMONDS	1856	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=52, level=1		
1858	CAMPAIGN_ELITE_52_4	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=52&level=4	25 DIAMONDS	1857	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=52, level=4		
1859	CAMPAIGN_ELITE_52_7	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=52&level=7	25 DIAMONDS	1858	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=52, level=7		
1860	CAMPAIGN_ELITE_52_10	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=52&level=10	25 DIAMONDS	1859	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=52, level=10		
1861	CAMPAIGN_ELITE_52_13	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=52&level=13	25 DIAMONDS	1860	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=52, level=13		
1862	CAMPAIGN_ELITE_52_16	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=52&level=16	25 DIAMONDS	1861	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=52, level=16		
1863	CAMPAIGN_ELITE_52_19	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=52&level=19	25 DIAMONDS	1862	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=52, level=19		
1864	CAMPAIGN_ELITE_53_1	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=53&level=1	25 DIAMONDS	1863	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=53, level=1		
1865	CAMPAIGN_ELITE_53_4	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=53&level=4	25 DIAMONDS	1864	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=53, level=4		
1866	CAMPAIGN_ELITE_53_7	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=53&level=7	25 DIAMONDS	1865	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=53, level=7		
1867	CAMPAIGN_ELITE_53_10	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=53&level=10	25 DIAMONDS	1866	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=53, level=10		
1868	CAMPAIGN_ELITE_53_13	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=53&level=13	25 DIAMONDS	1867	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=53, level=13		
1869	CAMPAIGN_ELITE_53_16	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=53&level=16	25 DIAMONDS	1868	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=53, level=16		
1870	CAMPAIGN_ELITE_53_19	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=53&level=19	25 DIAMONDS	1869	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=53, level=19		
1871	CAMPAIGN_ELITE_54_1	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=54&level=1	25 DIAMONDS	1870	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=54, level=1		
1872	CAMPAIGN_ELITE_54_4	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=54&level=4	25 DIAMONDS	1871	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=54, level=4		
1873	CAMPAIGN_ELITE_54_7	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=54&level=7	25 DIAMONDS	1872	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=54, level=7		
1874	CAMPAIGN_ELITE_54_10	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=54&level=10	25 DIAMONDS	1873	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=54, level=10		
1875	CAMPAIGN_ELITE_55_1	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=55&level=1	25 DIAMONDS	1874	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=55, level=1		
1876	CAMPAIGN_ELITE_55_4	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=55&level=4	25 DIAMONDS	1875	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=55, level=4		
1877	CAMPAIGN_ELITE_55_7	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=55&level=7	25 DIAMONDS	1876	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=55, level=7		
1878	CAMPAIGN_ELITE_55_10	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=55&level=10	25 DIAMONDS	1877	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=55, level=10		
1879	CAMPAIGN_ELITE_56_1	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=56&level=1	25 DIAMONDS	1878	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=56, level=1		
1880	CAMPAIGN_ELITE_56_4	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=56&level=4	25 DIAMONDS	1879	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=56, level=4		
1881	CAMPAIGN_ELITE_56_7	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=56&level=7	25 DIAMONDS	1880	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=56, level=7		
1882	CAMPAIGN_ELITE_56_10	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=56&level=10	25 DIAMONDS	1881	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=56, level=10		
1883	CAMPAIGN_ELITE_56_13	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=56&level=13	25 DIAMONDS	1882	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=56, level=13		
1884	CAMPAIGN_ELITE_56_16	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=56&level=16	25 DIAMONDS	1883	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=56, level=16		
1885	CAMPAIGN_ELITE_56_19	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=56&level=19	25 DIAMONDS	1884	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=56, level=19		
1886	CAMPAIGN_ELITE_57_1	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=57&level=1	25 DIAMONDS	1885	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=57, level=1		
1887	CAMPAIGN_ELITE_57_4	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=57&level=4	25 DIAMONDS	1886	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=57, level=4		
1888	CAMPAIGN_ELITE_57_7	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=57&level=7	25 DIAMONDS	1887	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=57, level=7		
1889	CAMPAIGN_ELITE_57_10	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=57&level=10	25 DIAMONDS	1888	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=57, level=10		
1890	CAMPAIGN_ELITE_57_13	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=57&level=13	25 DIAMONDS	1889	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=57, level=13		
1891	CAMPAIGN_ELITE_57_16	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=57&level=16	25 DIAMONDS	1890	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=57, level=16		
1892	CAMPAIGN_ELITE_57_19	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=57&level=19	25 DIAMONDS	1891	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=57, level=19		
1893	CAMPAIGN_ELITE_58_1	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=58&level=1	25 DIAMONDS	1892	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=58, level=1		
1894	CAMPAIGN_ELITE_58_4	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=58&level=4	25 DIAMONDS	1893	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=58, level=4		
1895	CAMPAIGN_ELITE_58_7	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=58&level=7	25 DIAMONDS	1894	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=58, level=7		
1896	CAMPAIGN_ELITE_58_10	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=58&level=10	25 DIAMONDS	1895	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=58, level=10		
1897	CAMPAIGN_ELITE_58_13	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=58&level=13	25 DIAMONDS	1896	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=58, level=13		
1898	CAMPAIGN_ELITE_58_16	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=58&level=16	25 DIAMONDS	1897	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=58, level=16		
1899	CAMPAIGN_ELITE_58_19	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=58&level=19	25 DIAMONDS	1898	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=58, level=19		
1900	CAMPAIGN_ELITE_59_1	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=59&level=1	25 DIAMONDS	1899	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=59, level=1		
1901	CAMPAIGN_ELITE_59_4	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=59&level=4	25 DIAMONDS	1900	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=59, level=4		
