	TIER_1_TAGS	TIER_3_TAGS	TIER_4_TAGS	FRANCHISE	SKILL_1	SKILL_2	SKILL_3	SKILL_4	SKILL_5	PRIME_BADGE	PATCH_TALENT_1	PATCH_TALENT_2	PATCH_TALENT_3	PATCH_TALENT_4	PATCH_TALENT_5
LADY_TREMAINE	DPS_ROLE,BLUE_TEAM,CINDERELLA,NORMAL_DAMAGE,KNOCKBACK,SNARE,DAMAGE_INCREASE,SKILL_POWER_INCREASE,ENERGY_SELF,ENERGY_TEAM,PIERCE,STUDY,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE,INCREASED_DAMAGE_TAKEN,EMPOWERED,CLEANSE,MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	REFLECT,DAMAGE_INCREASE,MAX_HP_INCREASE	PRECISE,ARMOR_DECREASE,DAMAGE_INCREASE,SKILL_POWER_INCREASE,REMOVE_BUFF,HARDY,REDUCED_DAMAGE_TAKEN	CINDERELLA	NORMAL_DAMAGE,KNOCKBACK,SNARE	DAMAGE_INCREASE,SKILL_POWER_INCREASE,ENERGY_SELF,ENERGY_TEAM	NORMAL_DAMAGE,PIERCE,STUDY	NORMAL_DAMAGE,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE	NORMAL_DAMAGE,INCREASED_DAMAGE_TAKEN,EMPOWERED,CLEANSE,DAMAGE_INCREASE,SKILL_POWER_INCREASE,MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	REFLECT,DAMAGE_INCREASE,MAX_HP_INCREASE	PRECISE	ARMOR_DECREASE	DAMAGE_INCREASE,SKILL_POWER_INCREASE	REMOVE_BUFF	HARDY,REDUCED_DAMAGE_TAKEN
LAUNCHPAD_MCQUACK	SUPPORT_ROLE,RED_TEAM,DUCKTALES,DARKWING_DUCK,BLIND,HEAL_TEAM,ENERGY_TEAM,FANTASTIC_DAMAGE,STUN,HEAL_SELF,DAMAGE_INCREASE,MAX_HP_INCREASE,INVINCIBLE,SKILL_POWER_INCREASE	ARMOR_INCREASE,REALITY_INCREASE,TENACITY_INCREASE	PRECISE,DAMAGE_INCREASE,SKILL_POWER_INCREASE,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,REFLECT,HEAL_SELF,IMMUNITY,REMOVE_BUFF	DUCKTALES,DARKWING_DUCK	BLIND,HEAL_TEAM,ENERGY_TEAM	FANTASTIC_DAMAGE,STUN	HEAL_SELF,DAMAGE_INCREASE,BLIND	MAX_HP_INCREASE	INVINCIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE,MAX_HP_INCREASE,FANTASTIC_DAMAGE	ARMOR_INCREASE,REALITY_INCREASE,TENACITY_INCREASE	PRECISE	DAMAGE_INCREASE,SKILL_POWER_INCREASE	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	REFLECT,HEAL_SELF	IMMUNITY,REMOVE_BUFF
LI_SHANG	SUPPORT_ROLE,YELLOW_TEAM,MULAN,NORMAL_DAMAGE,HEAL_SELF,HEAL_TEAM,ARMOR_INCREASE,SHIELD_SELF,SHIELD_TEAM,ATTACK_SPEED_INCREASE,DAMAGE_INCREASE,ENERGY_SELF,ENERGY_TEAM,REALITY_INCREASE,HARDY,SKILL_POWER_INCREASE,MAX_HP_INCREASE	HEAL_OVER_TIME_SELF,HEAL_OVER_TIME_TEAM,REALITY_INCREASE,ARMOR_INCREASE	HEAL_TEAM,PRECISE,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,SHIELD_SELF,IMMUNITY,INVINCIBLE,HEAL_OVER_TIME_SELF	MULAN	NORMAL_DAMAGE,HEAL_SELF,HEAL_TEAM,ARMOR_INCREASE,SHIELD_SELF,SHIELD_TEAM	ATTACK_SPEED_INCREASE,DAMAGE_INCREASE	ENERGY_SELF,ENERGY_TEAM,REALITY_INCREASE	ARMOR_INCREASE,DAMAGE_INCREASE,REALITY_INCREASE	HARDY,ARMOR_INCREASE,DAMAGE_INCREASE,REALITY_INCREASE,SKILL_POWER_INCREASE,MAX_HP_INCREASE,SHIELD_SELF,SHIELD_TEAM	HEAL_OVER_TIME_SELF,HEAL_OVER_TIME_TEAM,REALITY_INCREASE,ARMOR_INCREASE	HEAL_TEAM	PRECISE	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	SHIELD_SELF,IMMUNITY	IMMUNITY,INVINCIBLE,HEAL_OVER_TIME_SELF
LIGHTNING_MCQUEEN	DPS_ROLE,BLUE_TEAM,CARS,NORMAL_DAMAGE,KNOCKBACK,TRUE_DAMAGE,MOST_WANTED,MOVE_SPEED_INCREASE,MOMENTUM,CHARM,FATIGUE,STUN,INVINCIBLE,OVERLOAD,ENERGIZE,PRECISE,NORMAL_CRIT_INCREASE,CRIT_DAMAGE_INCREASE,BERSERK,PIERCE,DRAIN,ARMOR_DECREASE,MOVE_SPEED_DECREASE,DAMAGE_INCREASE,MAX_HP_INCREASE,ARMOR_INCREASE	ENERGY_SELF,DAMAGE_INCREASE	INCREASED_DAMAGE_DEALT,PRECISE,TENACITY_DECREASE,SAP,REMOVE_BUFF	CARS	NORMAL_DAMAGE,KNOCKBACK	NORMAL_DAMAGE,TRUE_DAMAGE,MOST_WANTED,MOVE_SPEED_INCREASE,MOMENTUM,CHARM,FATIGUE,STUN	NORMAL_DAMAGE,MOVE_SPEED_INCREASE,INVINCIBLE,OVERLOAD	NORMAL_DAMAGE,ENERGIZE,PRECISE,NORMAL_CRIT_INCREASE,CRIT_DAMAGE_INCREASE	BERSERK,PIERCE,DRAIN,ARMOR_DECREASE,MOVE_SPEED_DECREASE,DAMAGE_INCREASE,MAX_HP_INCREASE,ARMOR_INCREASE	ENERGY_SELF,DAMAGE_INCREASE	INCREASED_DAMAGE_DEALT	INCREASED_DAMAGE_DEALT	INCREASED_DAMAGE_DEALT	PRECISE,TENACITY_DECREASE,SAP,REMOVE_BUFF	
LILITH_CLAWTHORNE	CONTROL_ROLE,RED_TEAM,THE_OWL_HOUSE,FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE,STUN,CURSE,SHIELD_SELF,SHIELD_TEAM,REFLECT,REMOVE_BUFF,VULNERABLE,INCREASED_DAMAGE_TAKEN,MOST_WANTED,SKILL_POWER_DECREASE,SKILL_POWER_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,TRUE_DAMAGE,HEX,LIMIT,MAX_HP_INCREASE	REFLECT,MAX_HP_INCREASE	CURSE,REDUCED_DAMAGE_DEALT,IMMUNITY,TRUE_DAMAGE,REMOVE_BUFF,FATIGUE	THE_OWL_HOUSE	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE,STUN,CURSE	SHIELD_SELF,SHIELD_TEAM,REFLECT,REMOVE_BUFF	FANTASTIC_DAMAGE,VULNERABLE,INCREASED_DAMAGE_TAKEN,DAMAGE_OVER_TIME	CURSE,MOST_WANTED,SKILL_POWER_DECREASE,SKILL_POWER_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	TRUE_DAMAGE,CURSE,SHIELD_SELF,SHIELD_TEAM,HEX,LIMIT,FANTASTIC_DAMAGE,SKILL_POWER_INCREASE,MAX_HP_INCREASE	REFLECT,MAX_HP_INCREASE	CURSE	REDUCED_DAMAGE_DEALT	IMMUNITY	CURSE,TRUE_DAMAGE	REMOVE_BUFF,FATIGUE,REDUCED_DAMAGE_DEALT
LILO	CONTROL_ROLE,BLUE_TEAM,LILO_AND_STITCH,FANTASTIC_DAMAGE,SCARE,HEAL_OVER_TIME_SELF,SILENCE,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE,DISTRACT,DODGE,HEAL_SELF,REALITY_DECREASE,REMOVE_BUFF,ENERGY_REMOVAL,SKILL_POWER_INCREASE,MAX_HP_INCREASE	HEAL_SELF,MAX_HP_INCREASE,SKILL_POWER_INCREASE	IMMUNITY,HEAL_TEAM,HEAL_SELF,INVINCIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE,REMOVE_BUFF	LILO_AND_STITCH	FANTASTIC_DAMAGE,SCARE,HEAL_OVER_TIME_SELF	SILENCE,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE	DISTRACT,DODGE	HEAL_SELF	REALITY_DECREASE,REMOVE_BUFF,ENERGY_REMOVAL,SKILL_POWER_INCREASE,MAX_HP_INCREASE,FANTASTIC_DAMAGE	HEAL_SELF,MAX_HP_INCREASE,SKILL_POWER_INCREASE	IMMUNITY	HEAL_TEAM	HEAL_SELF	INVINCIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE	IMMUNITY,REMOVE_BUFF
LINGUINI_AND_REMY	SUPPORT_ROLE,YELLOW_TEAM,RATATOUILLE,HEAL_TEAM,HEAL_OVER_TIME_TEAM,FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,ARMOR_DECREASE,HARDY,SKILL_POWER_INCREASE,ARMOR_INCREASE,MAX_HP_INCREASE	REALITY_INCREASE,MAX_HP_INCREASE,HEAL_TEAM	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,DAMAGE_INCREASE,SKILL_POWER_INCREASE,ARMOR_INCREASE,DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,IMMUNITY,REMOVE_BUFF	RATATOUILLE	HEAL_TEAM	HEAL_OVER_TIME_TEAM	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,ARMOR_DECREASE	HARDY	HEAL_OVER_TIME_TEAM,HEAL_TEAM,SKILL_POWER_INCREASE,ARMOR_INCREASE,MAX_HP_INCREASE	REALITY_INCREASE,MAX_HP_INCREASE,HEAL_TEAM	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	DAMAGE_INCREASE,SKILL_POWER_INCREASE	ARMOR_INCREASE	DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	IMMUNITY,REMOVE_BUFF
LITTLE_JOHN	TANK_ROLE,YELLOW_TEAM,ROBIN_HOOD,NORMAL_DAMAGE,SNARE,REALITY_DECREASE,REALITY_INCREASE,DISTRACT,ARMOR_DECREASE,DODGE,KNOCKBACK,STUN,SHIELD_SELF,FANTASTIC_DAMAGE,REMOVE_BUFF,COPY_BUFF,MAX_HP_INCREASE,ARMOR_INCREASE	HEAL_OVER_TIME_TEAM,REALITY_INCREASE,DAMAGE_INCREASE	SHIELD_TEAM,TENACITY_DECREASE,EVASION_DECREASE,PRECISE,WEAKNESS,SHIELD_SELF,IMMUNITY	ROBIN_HOOD	NORMAL_DAMAGE,SNARE	REALITY_DECREASE,REALITY_INCREASE	DISTRACT,ARMOR_DECREASE,DODGE	KNOCKBACK,STUN,SHIELD_SELF	FANTASTIC_DAMAGE,NORMAL_DAMAGE,REMOVE_BUFF,COPY_BUFF,MAX_HP_INCREASE,ARMOR_INCREASE	HEAL_OVER_TIME_TEAM,REALITY_INCREASE,DAMAGE_INCREASE	SHIELD_TEAM	TENACITY_DECREASE,EVASION_DECREASE	PRECISE	TENACITY_DECREASE,WEAKNESS	SHIELD_SELF,IMMUNITY
LOCK_SHOCK_BARREL	CONTROL_ROLE,YELLOW_TEAM,THE_NIGHTMARE_BEFORE_CHRISTMAS,FANTASTIC_DAMAGE,HEAL_TEAM,DAMAGE_OVER_TIME,REALITY_DECREASE,SCARE,TENACITY_DECREASE,EVASION_DECREASE,STUN,FREEZE,BLIND,CHARM,SILENCE,CRIT_DAMAGE_INCREASE,MAX_HP_INCREASE	REALITY_INCREASE,DAMAGE_INCREASE,EVASION_INCREASE	MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,PRECISE,REMOVE_BUFF,FATIGUE,REDUCED_DAMAGE_DEALT,CLEANSE,BERSERK,HEAL_SELF	THE_NIGHTMARE_BEFORE_CHRISTMAS	FANTASTIC_DAMAGE,HEAL_TEAM,DAMAGE_OVER_TIME	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,REALITY_DECREASE	SCARE	TENACITY_DECREASE,EVASION_DECREASE	FANTASTIC_DAMAGE,STUN,FREEZE,BLIND,CHARM,SILENCE,CRIT_DAMAGE_INCREASE,MAX_HP_INCREASE,DAMAGE_OVER_TIME	REALITY_INCREASE,DAMAGE_INCREASE,EVASION_INCREASE	MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	PRECISE	REMOVE_BUFF,FATIGUE,REDUCED_DAMAGE_DEALT	CLEANSE,BERSERK,HEAL_SELF
LUCA_AND_ALBERTO	CONTROL_ROLE,RED_TEAM,FANTASTIC_DAMAGE,SHIELD_SELF,KNOCKBACK,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,SKILL_POWER_INCREASE,NORMAL_DAMAGE,STUN,ARMOR_DECREASE,REALITY_DECREASE,DISTRACT,HEAL_OVER_TIME_SELF,CLEANSE,ATTACK_SPEED_INCREASE,EVASION_DECREASE,FATIGUE,TENACITY_DECREASE,HARDY,MAX_HP_INCREASE	ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE,SKILL_POWER_INCREASE,MAX_HP_INCREASE	SHIELD_TEAM,ARMOR_DECREASE,REALITY_DECREASE,SHIELD_SELF,IMMUNITY,DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE		FANTASTIC_DAMAGE,SHIELD_SELF,KNOCKBACK,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,SKILL_POWER_INCREASE	NORMAL_DAMAGE,STUN,ARMOR_DECREASE,REALITY_DECREASE	DISTRACT,SHIELD_SELF,HEAL_OVER_TIME_SELF,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	CLEANSE,SHIELD_SELF,ATTACK_SPEED_INCREASE	FANTASTIC_DAMAGE,ARMOR_DECREASE,REALITY_DECREASE,EVASION_DECREASE,FATIGUE,TENACITY_DECREASE,SKILL_POWER_INCREASE,HARDY,MAX_HP_INCREASE	ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE,SKILL_POWER_INCREASE,MAX_HP_INCREASE	SHIELD_TEAM	ARMOR_DECREASE	REALITY_DECREASE	SHIELD_SELF,IMMUNITY	DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE
LUISA_MADRIGAL	TANK_ROLE,BLUE_TEAM,ENCANTO,NORMAL_DAMAGE,KNOCKBACK,STUN,SNARE,DISTRACT,MAX_HP_INCREASE,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,SHIELD_TEAM,REDUCED_DAMAGE_TAKEN,REDUCED_DAMAGE_DEALT,ARMOR_INCREASE,REALITY_INCREASE	MAX_HP_INCREASE,INVINCIBLE	ARMOR_DECREASE,DAMAGE_DECREASE,SKILL_POWER_DECREASE,REDUCED_DAMAGE_DEALT,INVINCIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE,TRUE_DAMAGE,STUN	ENCANTO	NORMAL_DAMAGE,KNOCKBACK,STUN,SNARE	DISTRACT,MAX_HP_INCREASE,KNOCKBACK,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	SHIELD_TEAM,REDUCED_DAMAGE_TAKEN,KNOCKBACK,SNARE	NORMAL_DAMAGE,KNOCKBACK	KNOCKBACK,SNARE,MOVE_SPEED_DECREASE,REDUCED_DAMAGE_DEALT,MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	MAX_HP_INCREASE,INVINCIBLE	ARMOR_DECREASE	DAMAGE_DECREASE,SKILL_POWER_DECREASE	REDUCED_DAMAGE_DEALT	INVINCIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE	TRUE_DAMAGE,STUN
LUZ_NOCEDA	CONTROL_ROLE,RED_TEAM,THE_OWL_HOUSE,NORMAL_DAMAGE,FREEZE,SNARE,HEAL_SELF,HEAL_TEAM,SAP,DRAIN,DAMAGE_OVER_TIME,DETERMINATION,FANTASTIC_DAMAGE,BLIND,CONFUSION,SHATTER,STUDY,TRUE_DAMAGE,ENERGY_REMOVAL,ENERGY_SELF,SKILL_POWER_DECREASE,LIMIT,ARMOR_DECREASE,REALITY_DECREASE,HARDY,ARMOR_INCREASE,REALITY_INCREASE	REFLECT,MAX_HP_INCREASE,ARMOR_INCREASE	IMMUNITY,INVISIBLE,SAP,REMOVE_BUFF,WEAKNESS,FATIGUE,REDUCED_DAMAGE_DEALT	THE_OWL_HOUSE	NORMAL_DAMAGE,FREEZE,SNARE,HEAL_SELF,HEAL_TEAM	NORMAL_DAMAGE,SAP,DRAIN,DAMAGE_OVER_TIME,DETERMINATION	FANTASTIC_DAMAGE,BLIND,CONFUSION	FANTASTIC_DAMAGE,SHATTER,STUDY	TRUE_DAMAGE,NORMAL_DAMAGE,ENERGY_REMOVAL,ENERGY_SELF,SKILL_POWER_DECREASE,CONFUSION,LIMIT,ARMOR_DECREASE,REALITY_DECREASE,HARDY,ARMOR_INCREASE,REALITY_INCREASE	REFLECT,MAX_HP_INCREASE,ARMOR_INCREASE	IMMUNITY	INVISIBLE	SAP	REMOVE_BUFF,WEAKNESS	REMOVE_BUFF,FATIGUE,REDUCED_DAMAGE_DEALT
MAD_HATTER	CONTROL_ROLE,BLUE_TEAM,ALICE_IN_WONDERLAND,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,FANTASTIC_DAMAGE,ARMOR_DECREASE,CHARM,SKILL_POWER_INCREASE,REALITY_INCREASE	REALITY_INCREASE,SKILL_POWER_INCREASE,ATTACK_SPEED_INCREASE	TENACITY_DECREASE,EVASION_DECREASE,REALITY_DECREASE,BLIND,REMOVE_BUFF,FATIGUE,REDUCED_DAMAGE_DEALT,CHARM,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	ALICE_IN_WONDERLAND	MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	FANTASTIC_DAMAGE,ARMOR_DECREASE	CHARM		SKILL_POWER_INCREASE,REALITY_INCREASE,FANTASTIC_DAMAGE	REALITY_INCREASE,SKILL_POWER_INCREASE,ATTACK_SPEED_INCREASE	TENACITY_DECREASE,EVASION_DECREASE	REALITY_DECREASE	BLIND	REMOVE_BUFF,FATIGUE,REDUCED_DAMAGE_DEALT	CHARM,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE
MADAM_MIM	DPS_ROLE,YELLOW_TEAM,THE_SWORD_IN_THE_STONE,FANTASTIC_DAMAGE,NORMAL_DAMAGE,SCARE,HEX,FATIGUE,DAMAGE_OVER_TIME,ENERGY_SELF,DAMAGE_DECREASE,SKILL_POWER_DECREASE,REALITY_INCREASE,MAX_HP_INCREASE,ARMOR_INCREASE	MAX_HP_INCREASE,BERSERK	MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,IMMUNITY,ARMOR_DECREASE,REMOVE_BUFF,DAMAGE_OVER_TIME	THE_SWORD_IN_THE_STONE	FANTASTIC_DAMAGE,NORMAL_DAMAGE	SCARE,HEX	FANTASTIC_DAMAGE,FATIGUE,DAMAGE_OVER_TIME	ENERGY_SELF	HEX,DAMAGE_DECREASE,SKILL_POWER_DECREASE,REALITY_INCREASE,MAX_HP_INCREASE,ARMOR_INCREASE	MAX_HP_INCREASE,BERSERK	MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	IMMUNITY	ARMOR_DECREASE	IMMUNITY,REMOVE_BUFF	DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE
MAGICA_DE_SPELL	CONTROL_ROLE,RED_TEAM,DUCKTALES,FANTASTIC_DAMAGE,MOST_WANTED,STUN,DAMAGE_OVER_TIME,ENERGY_REMOVAL,ENERGY_SELF,ARMOR_DECREASE,CURSE,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE,SKILL_POWER_INCREASE,REALITY_INCREASE	ARMOR_INCREASE,DAMAGE_INCREASE,EVASION_INCREASE	REALITY_DECREASE,CURSE,REDUCED_DAMAGE_DEALT,TRUE_DAMAGE,DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	DUCKTALES	FANTASTIC_DAMAGE,MOST_WANTED,STUN,DAMAGE_OVER_TIME	ENERGY_REMOVAL,ENERGY_SELF,ARMOR_DECREASE	FANTASTIC_DAMAGE,CURSE	ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE	ENERGY_SELF,CURSE,SKILL_POWER_INCREASE,REALITY_INCREASE,FANTASTIC_DAMAGE,DAMAGE_OVER_TIME	ARMOR_INCREASE,DAMAGE_INCREASE,EVASION_INCREASE	REALITY_DECREASE	CURSE	REDUCED_DAMAGE_DEALT	CURSE,TRUE_DAMAGE	DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE
MALEFICENT	CONTROL_ROLE,YELLOW_TEAM,SLEEPING_BEAUTY,FANTASTIC_DAMAGE,STUN,DAMAGE_OVER_TIME,CURSE,TENACITY_DECREASE,MAX_HP_INCREASE,SKILL_POWER_INCREASE,REALITY_INCREASE	SKILL_POWER_INCREASE,ARMOR_INCREASE,ENERGIZE	MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,CURSE,DAMAGE_DECREASE,SKILL_POWER_DECREASE,TRUE_DAMAGE,DAMAGE_OVER_TIME	SLEEPING_BEAUTY	FANTASTIC_DAMAGE	FANTASTIC_DAMAGE,STUN,DAMAGE_OVER_TIME	STUN	CURSE	TENACITY_DECREASE,FANTASTIC_DAMAGE,MAX_HP_INCREASE,SKILL_POWER_INCREASE,REALITY_INCREASE	SKILL_POWER_INCREASE,ARMOR_INCREASE,ENERGIZE	MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	CURSE	DAMAGE_DECREASE,SKILL_POWER_DECREASE	CURSE,TRUE_DAMAGE	DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE
MAMA_ODIE	SUPPORT_ROLE,RED_TEAM,THE_PRINCESS_AND_THE_FROG,NORMAL_DAMAGE,FANTASTIC_DAMAGE,ENERGY_REMOVAL,HEAL_TEAM,ENERGY_TEAM,LIMIT,INCREASED_DAMAGE_TAKEN,ARMOR_INCREASE,REALITY_INCREASE,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE,STUN,SCARE,STUDY,HEAL_SELF,NORMAL_CRIT_INCREASE,FANTASTIC_CRIT_INCREASE,HEAL_OVER_TIME_TEAM,CHARM,REMOVE_BUFF,DECAY,MAX_HP_INCREASE,SKILL_POWER_INCREASE	SHIELD_SELF,SHIELD_TEAM,DAMAGE_INCREASE,MAX_HP_INCREASE	ARMOR_DECREASE,PRECISE,INVISIBLE,CHARM,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,DAMAGE_INCREASE,SKILL_POWER_INCREASE	THE_PRINCESS_AND_THE_FROG	NORMAL_DAMAGE,FANTASTIC_DAMAGE,ENERGY_REMOVAL,HEAL_TEAM,ENERGY_TEAM,LIMIT,INCREASED_DAMAGE_TAKEN,ARMOR_INCREASE,REALITY_INCREASE	ARMOR_INCREASE,REALITY_INCREASE,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE	NORMAL_DAMAGE,STUN,SCARE,STUDY	HEAL_SELF,HEAL_TEAM,NORMAL_CRIT_INCREASE,FANTASTIC_CRIT_INCREASE	NORMAL_DAMAGE,FANTASTIC_DAMAGE,HEAL_OVER_TIME_TEAM,CHARM,REMOVE_BUFF,DECAY,MAX_HP_INCREASE,SKILL_POWER_INCREASE	SHIELD_SELF,SHIELD_TEAM,DAMAGE_INCREASE,MAX_HP_INCREASE	ARMOR_DECREASE	PRECISE	INVISIBLE	CHARM,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	INVISIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE
MANTICORE	DPS_ROLE,RED_TEAM,ONWARD,NORMAL_DAMAGE,CLEANSE,FANTASTIC_DAMAGE,STUN,DAMAGE_OVER_TIME,ARMOR_DECREASE,DAMAGE_INCREASE,MOST_WANTED,SKILL_POWER_INCREASE,MAX_HP_INCREASE,CRIT_DAMAGE	DAMAGE_INCREASE,REALITY_INCREASE,ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE	TENACITY_DECREASE,EVASION_DECREASE,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,DAMAGE_DECREASE,SKILL_POWER_DECREASE,DAMAGE_OVER_TIME,WEAKNESS	ONWARD	NORMAL_DAMAGE,CLEANSE	FANTASTIC_DAMAGE,STUN	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,ARMOR_DECREASE	DAMAGE_INCREASE	STUN,MOST_WANTED,SKILL_POWER_INCREASE,MAX_HP_INCREASE,CRIT_DAMAGE,DAMAGE_INCREASE	DAMAGE_INCREASE,REALITY_INCREASE,ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE	TENACITY_DECREASE,EVASION_DECREASE	MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	DAMAGE_DECREASE,SKILL_POWER_DECREASE	DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	TENACITY_DECREASE,WEAKNESS
MARIE	CONTROL_ROLE,RED_TEAM,THE_ARISTOCATS,FANTASTIC_DAMAGE,ARMOR_DECREASE,REALITY_DECREASE,REMOVE_BUFF,INCREASED_DAMAGE_DEALT,KNOCKBACK,MOMENTUM,ARMOR_INCREASE,REALITY_INCREASE,VULNERABLE,STUN,HEAL_SELF,SKILL_POWER_DECREASE,IMMUNITY,TENACITY_DECREASE,EVASION_DECREASE,WEAKNESS,DISTRACT,REFLECT,MAX_HP_INCREASE,EVASION_INCREASE,TENACITY_INCREASE	ENERGY_SELF,SKILL_POWER_INCREASE	TENACITY_DECREASE,EVASION_DECREASE,DAMAGE_DECREASE,SKILL_POWER_DECREASE,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,WEAKNESS,REFLECT,HEAL_SELF	THE_ARISTOCATS	FANTASTIC_DAMAGE,ARMOR_DECREASE,REALITY_DECREASE,REMOVE_BUFF,INCREASED_DAMAGE_DEALT,KNOCKBACK	MOMENTUM,ARMOR_INCREASE,REALITY_INCREASE,VULNERABLE	FANTASTIC_DAMAGE,INCREASED_DAMAGE_DEALT,STUN	INCREASED_DAMAGE_DEALT,HEAL_SELF,SKILL_POWER_DECREASE,IMMUNITY	TENACITY_DECREASE,EVASION_DECREASE,REMOVE_BUFF,WEAKNESS,DISTRACT,REFLECT,HEAL_SELF,MAX_HP_INCREASE,EVASION_INCREASE,TENACITY_INCREASE	ENERGY_SELF,SKILL_POWER_INCREASE	TENACITY_DECREASE,EVASION_DECREASE	DAMAGE_DECREASE,SKILL_POWER_DECREASE	MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	TENACITY_DECREASE,WEAKNESS	REFLECT,HEAL_SELF
