	UPGRADE_COST	CONTENT_GL	CONTENT_TL	VALUE
GL5_GUILD_CRATE_XP:5	1,250,000	5	1	100
GL5_EXTRA_ELITE_CHANCES:1	500,000	5	1	1
GL5_EXTRA_ELITE_CHANCES:2	750,000	5	1	2
GL6_EXTRA_ELITE_CHANCES_2:1	300,000,000	6	500	1
GL6_EXTRA_ELITE_CHANCES_2:2	400,000,000	6	500	2
GL6_EXTRA_ELITE_CHANCES_2:3	500,000,000	6	500	3
GL5_INFLUENCE_STORAGE:1	500,000	5	1	100,000
GL5_INFLUENCE_STORAGE:2	650,000	5	1	200,000
GL5_INFLUENCE_STORAGE:3	800,000	5	1	300,000
GL5_INFLUENCE_STORAGE:4	1,000,000	5	1	400,000
GL5_INFLUENCE_STORAGE:5	1,200,000	5	1	500,000
GL5_INFLUENCE_STORAGE:6	1,600,000	5	1	200,000,000
GL5_INFLUENCE_STORAGE:7	201,100,000	5	1	400,000,000
GL5_INFLUENCE_STORAGE:8	401,100,000	5	1	770,000,000
GL5_INFLUENCE_STORAGE:9	771,100,000	5	1	840,000,000
GL5_INFLUENCE_STORAGE:10	841,100,000	5	1	930,000,000
GL5_INFLUENCE_STORAGE:11	931,100,000	5	1	1,260,000,000
GL5_INFLUENCE_STORAGE:12	1,261,100,000	5	1	2,960,000,000
GL5_INFLUENCE_STORAGE:13	2,961,100,000	5	1	3,060,000,000
GL5_INFLUENCE_STORAGE:14	3,061,100,000	5	1	5,490,000,000
GL5_INFLUENCE_STORAGE:15	5,491,100,000	5	1	5,950,000,000
GL5_INFLUENCE_STORAGE:16	5,951,100,000	5	1	7,980,000,000
GL5_INFLUENCE_STORAGE:17	7,981,100,000	5	1	8,720,000,000
GL5_INFLUENCE_STORAGE:18	8,721,100,000	5	1	9,600,000,000
GL5_INFLUENCE_STORAGE:19	9,601,100,000	5	1	10,070,000,000
GL5_INFLUENCE_STORAGE:20	10,071,100,000	5	1	10,580,000,000
GL5_INFLUENCE_STORAGE:21	10,581,100,000	5	1	12,530,000,000
GL5_INFLUENCE_STORAGE:22	12,531,100,000	5	1	17,490,000,000
GL5_INFLUENCE_STORAGE:23	17,491,100,000	5	1	19,990,000,000
GL5_SOCIAL_BUCKS_STORAGE:1	500,000	5	1	2,000
GL5_SOCIAL_BUCKS_STORAGE:2	750,000	5	1	4,000
GL5_SOCIAL_BUCKS_STORAGE:3	1,000,000	5	1	6,000
GL5_DOUBLE_DROP_ELITE:1	100,000	5	1	1
GL5_DOUBLE_DROP_ELITE:2	100,000	5	1	2
GL5_DOUBLE_DROP_ELITE:3	100,000	5	1	3
GL5_DOUBLE_DROP_ELITE:4	150,000	5	1	4
GL5_DOUBLE_DROP_ELITE:5	150,000	5	1	5
GL5_DOUBLE_DROP_ELITE:6	150,000	5	1	6
GL5_DOUBLE_DROP_ELITE:7	200,000	5	1	7
GL5_DOUBLE_DROP_ELITE:8	200,000	5	1	8
GL5_DOUBLE_DROP_ELITE:9	200,000	5	1	9
GL5_DOUBLE_DROP_ELITE:10	250,000	5	1	10
GL5_DOUBLE_DROP_ELITE:11	250,000	5	1	11
GL5_DOUBLE_DROP_ELITE:12	250,000	5	1	12
GL5_DOUBLE_DROP_ELITE:13	300,000	5	1	13
GL5_DOUBLE_DROP_ELITE:14	300,000	5	1	14
GL5_DOUBLE_DROP_ELITE:15	300,000	5	1	15
GL5_DOUBLE_DROP_ELITE:16	350,000	5	1	16
GL5_DOUBLE_DROP_ELITE:17	350,000	5	1	17
GL5_DOUBLE_DROP_ELITE:18	350,000	5	1	18
GL5_DOUBLE_DROP_ELITE:19	400,000	5	1	19
GL5_DOUBLE_DROP_ELITE:20	400,000	5	1	20
GL5_DOUBLE_DROP_ELITE:21	400,000	5	1	21
GL5_DOUBLE_DROP_ELITE:22	450,000	5	1	22
GL5_DOUBLE_DROP_ELITE:23	500,000	5	1	30
GL5_DOUBLE_DROP_ELITE:24	600,000	5	1	35
GL5_DOUBLE_DROP_ELITE:25	800,000	5	1	40
GL5_DOUBLE_DROP_ELITE:26	1,100,000	5	1	45
GL5_DOUBLE_DROP_ELITE:27	1,500,000	5	1	50
GL5_DOUBLE_DROP_ELITE:28	2,000,000	5	1	55
GL5_DOUBLE_DROP_ELITE:29	2,500,000	5	1	60
GL5_DOUBLE_DROP_ELITE:30	3,000,000	5	1	65
GL5_DOUBLE_DROP_ELITE:31	5,500,000	5	450	70
GL5_DOUBLE_DROP_ELITE:32	8,000,000	5	470	75
GL5_DOUBLE_DROP_ELITE:33	10,500,000	5	490	80
GL5_DOUBLE_DROP_ELITE:34	100,000,000	6	500	81
GL5_DOUBLE_DROP_ELITE:35	150,000,000	6	500	82
GL5_DOUBLE_DROP_ELITE:36	200,000,000	6	500	83
GL5_DOUBLE_DROP_ELITE:37	250,000,000	6	500	84
GL5_DOUBLE_DROP_ELITE:38	300,000,000	6	505	85
GL5_DOUBLE_DROP_ELITE:39	350,000,000	6	510	86
GL5_DOUBLE_DROP_ELITE:40	400,000,000	6	515	87
GL5_DOUBLE_DROP_ELITE:41	450,000,000	6	520	88
GL5_DOUBLE_DROP_ELITE:42	500,000,000	6	525	89
GL5_DOUBLE_DROP_ELITE:43	550,000,000	6	530	90
GL5_DOUBLE_DROP_ELITE:44	600,000,000	6	535	91
GL5_DOUBLE_DROP_ELITE:45	650,000,000	6	540	92
GL5_DOUBLE_DROP_ELITE:46	700,000,000	6	545	93
GL5_DOUBLE_DROP_ELITE:47	750,000,000	6	550	94
GL5_DOUBLE_DROP_ELITE:48	800,000,000	6	555	95
GL5_DOUBLE_DROP_ELITE:49	850,000,000	6	560	96
GL5_DOUBLE_DROP_ELITE:50	900,000,000	6	565	97
GL5_DOUBLE_DROP_ELITE:51	950,000,000	6	570	98
GL5_DOUBLE_DROP_ELITE:52	1,000,000,000	6	575	99
GL5_DOUBLE_DROP_ELITE:53	1,050,000,000	6	580	100
GL5_DOUBLE_DROP_ELITE:54	1,100,000,000	6	585	101
GL5_DOUBLE_DROP_ELITE:55	1,150,000,000	6	590	102
GL5_DOUBLE_DROP_ELITE:56	1,200,000,000	6	595	103
GL5_DOUBLE_DROP_ELITE:57	1,250,000,000	6	600	104
GL5_DOUBLE_DROP_ELITE:58	1,300,000,000	6	605	105
GL5_DOUBLE_DROP_ELITE:59	1,350,000,000	6	610	106
GL6:1	3,000,000	6	1	6
TIMED_BADGE_BOOSTER_CRATE:1	150,000	5	1	1
TIMED_SKILL_POINT_ITEM:1	150,000	5	1	1
TIMED_ULTRA_SD_CARD:1	150,000	5	1	1
TIMED_TRIALS_RESET_ITEM:1	150,000	5	1	1
TIMED_2X_CAMPAIGN_TEAM_XP_ITEM:1	600,000	5	1	1
TIMED_PORT_RESET_ITEM:1	150,000	5	1	1
TIMED_GUILD_CRATE:1	700,000	5	1	1
TIMED_STAMINA_RECHARGE_X4:1	10,000,000	5	500	1
TIMED_VIP5_FOR_DAY:1	50,000,000	5	500	1
TIMED_STAMINA_RESET_GIFT:1	10,000,000	5	500	1
TIMED_PORT_REWARD_BOOST:1	25,000,000	7		2
TIMED_SURGE_GOLD_BONUS:1	25,000,000	7		6
TIMED_FREE_RAID_PASS:1	10,000,000	7		24
TIMED_DOUBLE_CAMPAIGN_GOLD:1	10,000,000	5	500	1
TIMED_DOUBLE_NORMAL_DROPS:1	10,000,000	5	500	1
TIMED_DOUBLE_ELITE_DROPS:1	25,000,000	5	500	1
TIMED_ALL_SHOP_DISCOUNT:1	25,000,000	7		6
TIMED_GUILD_STORAGE_TEMP_BOOST:1	10,000,000	7		1
WAR_SPARS:1	100,000,000	0	1	1
WAR_SPARS:2	400,000,000	0	1	2
WAR_SPARS:3	800,000,000	0	1	3
WAR_SPARS:4	2,000,000,000	0	1	4
WAR_SPARS:5	8,000,000,000	0	1	5
